BOOT
frequency=50Hz
3xAD7177 test start
{text}b1_nT,b2_nT,b3_nT,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,stm32_roll_deg,stm32_pitch_deg,vertical_raw_nT,vertical_corr_nT
{plotter}19735.763672,13912.099609,-27902.240234,0.055054,-0.001831,0.487793,0.152672,-0.061069,0.015267,-0.419588,-6.624360,-25539.708984,-25495.691406
{plotter}19742.871094,13917.821289,-27903.335938,0.057129,-0.004761,0.481201,-0.183206,0.000000,-0.015267,-0.429114,-6.630117,-25539.988281,-25497.015625
{plotter}19744.587891,13916.975586,-27896.929688,0.054199,-0.005371,0.458374,-0.091603,0.106870,0.015267,-0.440300,-6.632239,-25535.232422,-25497.945312
{plotter}19743.134766,13918.461914,-27901.277344,0.055664,-0.003052,0.478394,0.122137,-0.061069,0.030534,-0.434947,-6.633557,-25537.931641,-25499.037109
{plotter}19743.210938,13921.585938,-27910.208984,0.055176,-0.003784,0.473633,0.091603,0.000000,0.015267,-0.434075,-6.633911,-25546.470703,-25500.705078
{plotter}19752.802734,13921.589844,-27905.810547,0.056152,-0.003906,0.476929,0.122137,0.015267,-0.015267,-0.433018,-6.636760,-25539.605469,-25501.808594
{plotter}19742.521484,13916.859375,-27902.203125,0.053955,-0.004883,0.477905,0.030534,0.000000,-0.030534,-0.438449,-6.628856,-25541.615234,-25503.011719
{plotter}19745.925781,13919.605469,-27902.580078,0.055786,-0.002930,0.471313,0.000000,-0.030534,-0.045802,-0.435067,-6.634246,-25538.666016,-25503.953125
{plotter}19742.320312,13919.493164,-27907.251953,0.055664,-0.005127,0.480591,0.122137,-0.015267,0.061069,-0.439831,-6.633349,-25545.210938,-25505.328125
{plotter}19746.707031,13917.565430,-27904.632812,0.058228,-0.000854,0.479126,-0.045802,-0.045802,0.000000,-0.427266,-6.646019,-25534.050781,-25505.833984
{plotter}19746.439453,13913.094727,-27907.031250,0.053467,-0.003418,0.479004,0.061069,0.000000,0.000000,-0.425325,-6.634852,-25540.423828,-25506.779297
{plotter}19742.341797,13910.092773,-27905.074219,0.058105,-0.002930,0.476318,-0.030534,0.000000,-0.015267,-0.423001,-6.647577,-25533.304688,-25507.167969
{plotter}19742.779297,13914.970703,-27907.677734,0.056641,-0.003174,0.477539,0.106870,-0.061069,0.030534,-0.419266,-6.653373,-25532.673828,-25507.490234
{plotter}19747.089844,13912.213867,-27908.593750,0.053345,-0.002808,0.475464,0.091603,-0.015267,0.015267,-0.414251,-6.643517,-25535.806641,-25508.025391
{plotter}19750.244141,13909.439453,-27910.652344,0.056641,-0.005249,0.480469,0.000000,0.000000,-0.030534,-0.422666,-6.646618,-25538.226562,-25508.710938
{plotter}19742.511719,13909.951172,-27905.648438,0.056885,-0.006104,0.476685,0.030534,0.030534,-0.076336,-0.434332,-6.652262,-25534.675781,-25509.107422
{plotter}19746.441406,13911.963867,-27905.212891,0.056152,-0.005005,0.475952,-0.015267,-0.030534,-0.030534,-0.441314,-6.655836,-25534.035156,-25509.439453
{plotter}19741.394531,13914.297852,-27903.222656,0.053711,-0.004517,0.477905,-0.015267,-0.030534,0.030534,-0.445723,-6.646615,-25537.384766,-25509.996094
{plotter}19745.160156,13913.823242,-27907.445312,0.053711,-0.002197,0.473877,0.061069,-0.030534,-0.015267,-0.437285,-6.639938,-25541.798828,-25510.845703
{plotter}19752.669922,13914.069336,-27909.927734,0.057495,-0.002075,0.477173,0.000000,0.015267,-0.015267,-0.429751,-6.648775,-25538.083984,-25511.384766
{plotter}19745.578125,13910.115234,-27905.228516,0.054565,-0.002075,0.478149,-0.106870,-0.366412,0.015267,-0.424711,-6.650482,-25532.330078,-25511.482422
